"statid","matchid","possessionhome","possessionaway","shotsontargethome","shotsontargetaway","shotsofftargethome","shotsofftargetaway","cornershome","cornersaway","foulshome","foulsaway"
165,975575,0,0,0,0,0,0,0,0,0,0
166,976035,0,0,0,0,0,0,0,0,0,0
167,976039,0,0,0,0,0,0,0,0,0,0
168,976040,0,0,0,0,0,0,0,0,0,0
169,976043,0,0,0,0,0,0,0,0,0,0
170,976055,0,0,0,0,0,0,0,0,0,0
171,976064,0,0,0,0,0,0,0,0,0,0
172,976066,0,0,0,0,0,0,0,0,0,0
173,976072,0,0,0,0,0,0,0,0,0,0
174,976078,0,0,0,0,0,0,0,0,0,0
175,978552,0,0,0,0,0,0,0,0,0,0
176,978565,0,0,0,0,0,0,0,0,0,0
177,978567,0,0,0,0,0,0,0,0,0,0
178,978574,0,0,0,0,0,0,0,0,0,0
179,978575,0,0,0,0,0,0,0,0,0,0
180,978581,0,0,0,0,0,0,0,0,0,0
181,978591,0,0,0,0,0,0,0,0,0,0
182,978863,0,0,0,0,0,0,0,0,0,0
183,978866,0,0,0,0,0,0,0,0,0,0
184,978867,0,0,0,0,0,0,0,0,0,0
185,978868,0,0,0,0,0,0,0,0,0,0
186,978872,0,0,0,0,0,0,0,0,0,0
187,978876,0,0,0,0,0,0,0,0,0,0
188,978889,0,0,0,0,0,0,0,0,0,0
189,978894,0,0,0,0,0,0,0,0,0,0
190,978901,0,0,0,0,0,0,0,0,0,0
191,978908,0,0,0,0,0,0,0,0,0,0
192,978910,0,0,0,0,0,0,0,0,0,0
193,978917,0,0,0,0,0,0,0,0,0,0
194,978918,0,0,0,0,0,0,0,0,0,0
195,978928,0,0,0,0,0,0,0,0,0,0
196,978935,0,0,0,0,0,0,0,0,0,0
197,978937,0,0,0,0,0,0,0,0,0,0
198,978942,0,0,0,0,0,0,0,0,0,0
199,978947,0,0,0,0,0,0,0,0,0,0
200,978948,0,0,0,0,0,0,0,0,0,0
201,978959,0,0,0,0,0,0,0,0,0,0
202,978961,0,0,0,0,0,0,0,0,0,0
203,978971,0,0,0,0,0,0,0,0,0,0
204,978979,0,0,0,0,0,0,0,0,0,0
205,978985,0,0,0,0,0,0,0,0,0,0
206,978996,0,0,0,0,0,0,0,0,0,0
207,979001,0,0,0,0,0,0,0,0,0,0
208,979007,0,0,0,0,0,0,0,0,0,0
209,979008,0,0,0,0,0,0,0,0,0,0
210,979016,0,0,0,0,0,0,0,0,0,0
211,979021,0,0,0,0,0,0,0,0,0,0
212,979022,0,0,0,0,0,0,0,0,0,0
213,979026,0,0,0,0,0,0,0,0,0,0
214,979034,0,0,0,0,0,0,0,0,0,0
215,979188,0,0,0,0,0,0,0,0,0,0
216,979217,0,0,0,0,0,0,0,0,0,0
217,979222,0,0,0,0,0,0,0,0,0,0
218,979224,0,0,0,0,0,0,0,0,0,0
219,979228,0,0,0,0,0,0,0,0,0,0
220,979231,0,0,0,0,0,0,0,0,0,0
221,979235,0,0,0,0,0,0,0,0,0,0
222,979236,0,0,0,0,0,0,0,0,0,0
223,979243,0,0,0,0,0,0,0,0,0,0
224,979245,0,0,0,0,0,0,0,0,0,0
225,979247,0,0,0,0,0,0,0,0,0,0
226,979256,0,0,0,0,0,0,0,0,0,0
227,979259,0,0,0,0,0,0,0,0,0,0
228,979261,0,0,0,0,0,0,0,0,0,0
229,979265,0,0,0,0,0,0,0,0,0,0
230,979268,0,0,0,0,0,0,0,0,0,0
231,979275,0,0,0,0,0,0,0,0,0,0
232,979277,0,0,0,0,0,0,0,0,0,0
233,979282,0,0,0,0,0,0,0,0,0,0
234,979289,0,0,0,0,0,0,0,0,0,0
235,979292,0,0,0,0,0,0,0,0,0,0
236,979295,0,0,0,0,0,0,0,0,0,0
237,979298,0,0,0,0,0,0,0,0,0,0
238,979300,0,0,0,0,0,0,0,0,0,0
239,979913,0,0,0,0,0,0,0,0,0,0
240,979924,0,0,0,0,0,0,0,0,0,0
241,979929,0,0,0,0,0,0,0,0,0,0
242,979931,0,0,0,0,0,0,0,0,0,0
243,979936,0,0,0,0,0,0,0,0,0,0
244,979937,0,0,0,0,0,0,0,0,0,0
245,979942,0,0,0,0,0,0,0,0,0,0
246,979943,0,0,0,0,0,0,0,0,0,0
247,979949,0,0,0,0,0,0,0,0,0,0
248,979954,0,0,0,0,0,0,0,0,0,0
249,979957,0,0,0,0,0,0,0,0,0,0
250,979964,0,0,0,0,0,0,0,0,0,0
251,979970,0,0,0,0,0,0,0,0,0,0
252,979972,0,0,0,0,0,0,0,0,0,0
253,979973,0,0,0,0,0,0,0,0,0,0
254,979980,0,0,0,0,0,0,0,0,0,0
255,979982,0,0,0,0,0,0,0,0,0,0
256,979989,0,0,0,0,0,0,0,0,0,0
257,979991,0,0,0,0,0,0,0,0,0,0
258,980003,0,0,0,0,0,0,0,0,0,0
259,980012,0,0,0,0,0,0,0,0,0,0
260,980013,0,0,0,0,0,0,0,0,0,0
261,980018,0,0,0,0,0,0,0,0,0,0
262,980020,0,0,0,0,0,0,0,0,0,0
263,980027,0,0,0,0,0,0,0,0,0,0
264,980031,0,0,0,0,0,0,0,0,0,0
265,980039,0,0,0,0,0,0,0,0,0,0
266,980049,0,0,0,0,0,0,0,0,0,0
267,980050,0,0,0,0,0,0,0,0,0,0
268,980054,0,0,0,0,0,0,0,0,0,0
269,980056,0,0,0,0,0,0,0,0,0,0
270,980066,0,0,0,0,0,0,0,0,0,0
271,980074,0,0,0,0,0,0,0,0,0,0
272,980075,0,0,0,0,0,0,0,0,0,0
273,980076,0,0,0,0,0,0,0,0,0,0
274,980079,0,0,0,0,0,0,0,0,0,0
275,980080,0,0,0,0,0,0,0,0,0,0
276,980084,0,0,0,0,0,0,0,0,0,0
277,980087,0,0,0,0,0,0,0,0,0,0
278,980094,0,0,0,0,0,0,0,0,0,0
279,980098,0,0,0,0,0,0,0,0,0,0
280,980106,0,0,0,0,0,0,0,0,0,0
281,980109,0,0,0,0,0,0,0,0,0,0
282,980110,0,0,0,0,0,0,0,0,0,0
283,980111,0,0,0,0,0,0,0,0,0,0
284,980115,0,0,0,0,0,0,0,0,0,0
285,980120,0,0,0,0,0,0,0,0,0,0
286,980127,0,0,0,0,0,0,0,0,0,0
287,980132,0,0,0,0,0,0,0,0,0,0
288,980134,0,0,0,0,0,0,0,0,0,0
289,980139,0,0,0,0,0,0,0,0,0,0
290,980147,0,0,0,0,0,0,0,0,0,0
291,980151,0,0,0,0,0,0,0,0,0,0
292,980159,0,0,0,0,0,0,0,0,0,0
293,980161,0,0,0,0,0,0,0,0,0,0
294,980167,0,0,0,0,0,0,0,0,0,0
295,980169,0,0,0,0,0,0,0,0,0,0
296,980176,0,0,0,0,0,0,0,0,0,0
297,980181,0,0,0,0,0,0,0,0,0,0
298,980183,0,0,0,0,0,0,0,0,0,0
299,980184,0,0,0,0,0,0,0,0,0,0
300,980192,0,0,0,0,0,0,0,0,0,0
301,980194,0,0,0,0,0,0,0,0,0,0
302,980196,0,0,0,0,0,0,0,0,0,0
303,980205,0,0,0,0,0,0,0,0,0,0
304,980211,0,0,0,0,0,0,0,0,0,0
305,980214,0,0,0,0,0,0,0,0,0,0
306,980219,0,0,0,0,0,0,0,0,0,0
307,980221,0,0,0,0,0,0,0,0,0,0
308,980222,0,0,0,0,0,0,0,0,0,0
309,980223,0,0,0,0,0,0,0,0,0,0
310,980233,0,0,0,0,0,0,0,0,0,0
311,980239,0,0,0,0,0,0,0,0,0,0
312,980241,0,0,0,0,0,0,0,0,0,0
313,980244,0,0,0,0,0,0,0,0,0,0
314,980253,0,0,0,0,0,0,0,0,0,0
315,980255,0,0,0,0,0,0,0,0,0,0
316,980260,0,0,0,0,0,0,0,0,0,0
317,980264,0,0,0,0,0,0,0,0,0,0
318,980265,0,0,0,0,0,0,0,0,0,0
319,980269,0,0,0,0,0,0,0,0,0,0
320,980270,0,0,0,0,0,0,0,0,0,0
321,980273,0,0,0,0,0,0,0,0,0,0
322,980275,0,0,0,0,0,0,0,0,0,0
323,980405,0,0,0,0,0,0,0,0,0,0
324,980801,0,0,0,0,0,0,0,0,0,0
325,980803,0,0,0,0,0,0,0,0,0,0
326,980808,0,0,0,0,0,0,0,0,0,0
327,980829,0,0,0,0,0,0,0,0,0,0
328,980834,0,0,0,0,0,0,0,0,0,0
329,980838,0,0,0,0,0,0,0,0,0,0
330,980845,0,0,0,0,0,0,0,0,0,0
331,980850,0,0,0,0,0,0,0,0,0,0
332,980863,0,0,0,0,0,0,0,0,0,0
333,980870,0,0,0,0,0,0,0,0,0,0
334,980882,0,0,0,0,0,0,0,0,0,0
335,980885,0,0,0,0,0,0,0,0,0,0
336,980890,0,0,0,0,0,0,0,0,0,0
337,980893,0,0,0,0,0,0,0,0,0,0
338,980895,0,0,0,0,0,0,0,0,0,0
339,980897,0,0,0,0,0,0,0,0,0,0
340,980901,0,0,0,0,0,0,0,0,0,0
341,980903,0,0,0,0,0,0,0,0,0,0
342,980906,0,0,0,0,0,0,0,0,0,0
343,980916,0,0,0,0,0,0,0,0,0,0
344,980920,0,0,0,0,0,0,0,0,0,0
345,980921,0,0,0,0,0,0,0,0,0,0
346,980926,0,0,0,0,0,0,0,0,0,0
347,980941,0,0,0,0,0,0,0,0,0,0
348,980942,0,0,0,0,0,0,0,0,0,0
349,980944,0,0,0,0,0,0,0,0,0,0
350,980948,0,0,0,0,0,0,0,0,0,0
351,980950,0,0,0,0,0,0,0,0,0,0
352,980954,0,0,0,0,0,0,0,0,0,0
353,980955,0,0,0,0,0,0,0,0,0,0
354,980960,0,0,0,0,0,0,0,0,0,0
355,980963,0,0,0,0,0,0,0,0,0,0
356,980966,0,0,0,0,0,0,0,0,0,0
357,980967,0,0,0,0,0,0,0,0,0,0
358,980975,0,0,0,0,0,0,0,0,0,0
359,980980,0,0,0,0,0,0,0,0,0,0
360,980981,0,0,0,0,0,0,0,0,0,0
361,980987,0,0,0,0,0,0,0,0,0,0
362,980994,0,0,0,0,0,0,0,0,0,0
363,980996,0,0,0,0,0,0,0,0,0,0
364,981002,0,0,0,0,0,0,0,0,0,0
365,981012,0,0,0,0,0,0,0,0,0,0
366,981024,0,0,0,0,0,0,0,0,0,0
367,981025,0,0,0,0,0,0,0,0,0,0
368,981031,0,0,0,0,0,0,0,0,0,0
369,981032,0,0,0,0,0,0,0,0,0,0
370,981041,0,0,0,0,0,0,0,0,0,0
371,981046,0,0,0,0,0,0,0,0,0,0
372,981048,0,0,0,0,0,0,0,0,0,0
373,981053,0,0,0,0,0,0,0,0,0,0
374,981058,0,0,0,0,0,0,0,0,0,0
375,981061,0,0,0,0,0,0,0,0,0,0
376,981065,0,0,0,0,0,0,0,0,0,0
377,981072,0,0,0,0,0,0,0,0,0,0
378,981073,0,0,0,0,0,0,0,0,0,0
379,981074,0,0,0,0,0,0,0,0,0,0
380,981077,0,0,0,0,0,0,0,0,0,0
381,981081,0,0,0,0,0,0,0,0,0,0
382,981086,0,0,0,0,0,0,0,0,0,0
383,981089,0,0,0,0,0,0,0,0,0,0
384,981097,0,0,0,0,0,0,0,0,0,0
385,981105,0,0,0,0,0,0,0,0,0,0
386,981107,0,0,0,0,0,0,0,0,0,0
387,981115,0,0,0,0,0,0,0,0,0,0
388,981116,0,0,0,0,0,0,0,0,0,0
389,981117,0,0,0,0,0,0,0,0,0,0
390,981118,0,0,0,0,0,0,0,0,0,0
391,981121,0,0,0,0,0,0,0,0,0,0
392,981127,0,0,0,0,0,0,0,0,0,0
393,981132,0,0,0,0,0,0,0,0,0,0
394,981135,0,0,0,0,0,0,0,0,0,0
395,981144,0,0,0,0,0,0,0,0,0,0
396,981147,0,0,0,0,0,0,0,0,0,0
397,981148,0,0,0,0,0,0,0,0,0,0
398,981155,0,0,0,0,0,0,0,0,0,0
399,981156,0,0,0,0,0,0,0,0,0,0
400,981162,0,0,0,0,0,0,0,0,0,0
401,981163,0,0,0,0,0,0,0,0,0,0
402,981166,0,0,0,0,0,0,0,0,0,0
403,981170,0,0,0,0,0,0,0,0,0,0
404,981180,0,0,0,0,0,0,0,0,0,0
405,981185,0,0,0,0,0,0,0,0,0,0
406,981188,0,0,0,0,0,0,0,0,0,0
407,981191,0,0,0,0,0,0,0,0,0,0
408,981196,0,0,0,0,0,0,0,0,0,0
409,981199,0,0,0,0,0,0,0,0,0,0
410,981206,0,0,0,0,0,0,0,0,0,0
411,981208,0,0,0,0,0,0,0,0,0,0
412,981211,0,0,0,0,0,0,0,0,0,0
413,981214,0,0,0,0,0,0,0,0,0,0
414,981217,0,0,0,0,0,0,0,0,0,0
415,981218,0,0,0,0,0,0,0,0,0,0
416,981225,0,0,0,0,0,0,0,0,0,0
417,981230,0,0,0,0,0,0,0,0,0,0
418,981233,0,0,0,0,0,0,0,0,0,0
419,981238,0,0,0,0,0,0,0,0,0,0
420,981245,0,0,0,0,0,0,0,0,0,0
421,981246,0,0,0,0,0,0,0,0,0,0
422,981253,0,0,0,0,0,0,0,0,0,0
423,981255,0,0,0,0,0,0,0,0,0,0
424,981264,0,0,0,0,0,0,0,0,0,0
425,981265,0,0,0,0,0,0,0,0,0,0
426,981268,0,0,0,0,0,0,0,0,0,0
427,981269,0,0,0,0,0,0,0,0,0,0
428,981273,0,0,0,0,0,0,0,0,0,0
429,981278,0,0,0,0,0,0,0,0,0,0
430,981460,0,0,0,0,0,0,0,0,0,0
431,981461,0,0,0,0,0,0,0,0,0,0
432,981469,0,0,0,0,0,0,0,0,0,0
433,981470,0,0,0,0,0,0,0,0,0,0
434,981478,0,0,0,0,0,0,0,0,0,0
435,981483,0,0,0,0,0,0,0,0,0,0
436,981500,0,0,0,0,0,0,0,0,0,0
437,981503,0,0,0,0,0,0,0,0,0,0
438,981506,0,0,0,0,0,0,0,0,0,0
439,981510,0,0,0,0,0,0,0,0,0,0
440,981523,0,0,0,0,0,0,0,0,0,0
441,981525,0,0,0,0,0,0,0,0,0,0
442,981526,0,0,0,0,0,0,0,0,0,0
443,981535,0,0,0,0,0,0,0,0,0,0
444,981537,0,0,0,0,0,0,0,0,0,0
445,981538,0,0,0,0,0,0,0,0,0,0
446,981539,0,0,0,0,0,0,0,0,0,0
447,981542,0,0,0,0,0,0,0,0,0,0
448,981548,0,0,0,0,0,0,0,0,0,0
449,981558,0,0,0,0,0,0,0,0,0,0
450,981559,0,0,0,0,0,0,0,0,0,0
451,981568,0,0,0,0,0,0,0,0,0,0
452,981577,0,0,0,0,0,0,0,0,0,0
453,981578,0,0,0,0,0,0,0,0,0,0
454,981584,0,0,0,0,0,0,0,0,0,0
455,981588,0,0,0,0,0,0,0,0,0,0
456,981590,0,0,0,0,0,0,0,0,0,0
457,981597,0,0,0,0,0,0,0,0,0,0
458,981601,0,0,0,0,0,0,0,0,0,0
459,981604,0,0,0,0,0,0,0,0,0,0
460,981698,0,0,0,0,0,0,0,0,0,0
461,981703,0,0,0,0,0,0,0,0,0,0
462,981705,0,0,0,0,0,0,0,0,0,0
463,981710,0,0,0,0,0,0,0,0,0,0
464,981866,0,0,0,0,0,0,0,0,0,0
465,981876,0,0,0,0,0,0,0,0,0,0
466,981880,0,0,0,0,0,0,0,0,0,0
467,981889,0,0,0,0,0,0,0,0,0,0
468,981891,0,0,0,0,0,0,0,0,0,0
469,981900,0,0,0,0,0,0,0,0,0,0
470,981901,0,0,0,0,0,0,0,0,0,0
471,981906,0,0,0,0,0,0,0,0,0,0
472,981908,0,0,0,0,0,0,0,0,0,0
473,981913,0,0,0,0,0,0,0,0,0,0
474,981920,0,0,0,0,0,0,0,0,0,0
475,981925,0,0,0,0,0,0,0,0,0,0
476,981926,0,0,0,0,0,0,0,0,0,0
477,981933,0,0,0,0,0,0,0,0,0,0
478,981936,0,0,0,0,0,0,0,0,0,0
479,981942,0,0,0,0,0,0,0,0,0,0
480,981948,0,0,0,0,0,0,0,0,0,0
481,981952,0,0,0,0,0,0,0,0,0,0
482,981956,0,0,0,0,0,0,0,0,0,0
483,981957,0,0,0,0,0,0,0,0,0,0
484,981960,0,0,0,0,0,0,0,0,0,0
485,981978,0,0,0,0,0,0,0,0,0,0
486,981985,0,0,0,0,0,0,0,0,0,0
487,981991,0,0,0,0,0,0,0,0,0,0
488,981993,0,0,0,0,0,0,0,0,0,0
489,981996,0,0,0,0,0,0,0,0,0,0
490,982246,0,0,0,0,0,0,0,0,0,0
491,982248,0,0,0,0,0,0,0,0,0,0
492,982251,0,0,0,0,0,0,0,0,0,0
493,982258,0,0,0,0,0,0,0,0,0,0
494,982259,0,0,0,0,0,0,0,0,0,0
495,982260,0,0,0,0,0,0,0,0,0,0
496,982264,0,0,0,0,0,0,0,0,0,0
497,982265,0,0,0,0,0,0,0,0,0,0
498,982266,0,0,0,0,0,0,0,0,0,0
499,982267,0,0,0,0,0,0,0,0,0,0
500,982275,0,0,0,0,0,0,0,0,0,0
501,982278,0,0,0,0,0,0,0,0,0,0
502,982283,0,0,0,0,0,0,0,0,0,0
503,982285,0,0,0,0,0,0,0,0,0,0
504,982286,0,0,0,0,0,0,0,0,0,0
505,982296,0,0,0,0,0,0,0,0,0,0
506,982300,0,0,0,0,0,0,0,0,0,0
507,982303,0,0,0,0,0,0,0,0,0,0
508,982312,0,0,0,0,0,0,0,0,0,0
509,982319,0,0,0,0,0,0,0,0,0,0
510,982320,0,0,0,0,0,0,0,0,0,0
511,982322,0,0,0,0,0,0,0,0,0,0
512,982340,0,0,0,0,0,0,0,0,0,0
513,982346,0,0,0,0,0,0,0,0,0,0
514,982351,0,0,0,0,0,0,0,0,0,0
515,982356,0,0,0,0,0,0,0,0,0,0
516,982362,0,0,0,0,0,0,0,0,0,0
517,982368,0,0,0,0,0,0,0,0,0,0
518,982374,0,0,0,0,0,0,0,0,0,0
519,982377,0,0,0,0,0,0,0,0,0,0
520,982380,0,0,0,0,0,0,0,0,0,0
521,982385,0,0,0,0,0,0,0,0,0,0
522,982386,0,0,0,0,0,0,0,0,0,0
523,982399,0,0,0,0,0,0,0,0,0,0
524,982402,0,0,0,0,0,0,0,0,0,0
525,982416,0,0,0,0,0,0,0,0,0,0
526,982424,0,0,0,0,0,0,0,0,0,0
527,982425,0,0,0,0,0,0,0,0,0,0
528,982430,0,0,0,0,0,0,0,0,0,0
529,982439,0,0,0,0,0,0,0,0,0,0
530,982444,0,0,0,0,0,0,0,0,0,0
531,982445,0,0,0,0,0,0,0,0,0,0
532,982448,0,0,0,0,0,0,0,0,0,0
533,982451,0,0,0,0,0,0,0,0,0,0
534,982452,0,0,0,0,0,0,0,0,0,0
535,982458,0,0,0,0,0,0,0,0,0,0
536,982464,0,0,0,0,0,0,0,0,0,0
537,982468,0,0,0,0,0,0,0,0,0,0
538,982470,0,0,0,0,0,0,0,0,0,0
539,982472,0,0,0,0,0,0,0,0,0,0
540,982475,0,0,0,0,0,0,0,0,0,0
541,982476,0,0,0,0,0,0,0,0,0,0
542,982477,0,0,0,0,0,0,0,0,0,0
543,982825,0,0,0,0,0,0,0,0,0,0
544,982828,0,0,0,0,0,0,0,0,0,0
545,982829,0,0,0,0,0,0,0,0,0,0
546,982830,0,0,0,0,0,0,0,0,0,0
547,982835,0,0,0,0,0,0,0,0,0,0
